player_norm,avg_runs_last10,matches_count
d pretorius,11.6,10
d prins,3.5,2
d ramdin,27.6,10
d ravu,11.7,10
d soraine,1.5,2
d tucker,10.67,6
d van niekerk,45.1,10
d vihanga,7.0,3
d wiese,28.7,10
da gunawardene,17.0,10
da marillier,24.9,10
da miller,34.5,10
da minors,13.0,8
da warner,51.7,10
daj bracewell,20.7,10
danish aziz,6.0,2
danish kaneria,1.8,5
das gunaratne,16.3,10
db kotze,13.67,6
db sharma,30.6,10
dbl powell,4.2,10
dc drakes,5.5,2
dc thomas,11.1,10
dcc borden,5.75,4
dd ebrahim,21.4,10
ddp d'silva,10.6,5
de bernard,13.4,10
de bollinger,7.14,7
de budge,14.2,10
dem carter,22.5,10
des maxwell,18.0,3
df watts,16.25,8
dg blampied,3.5,2
dg brownlie,29.5,10
dhiman ghosh,10.9,10
di allan,9.0,2
di joyce,9.67,3
diana baig,8.2,10
dilara akter,10.5,2
dj bravo,21.0,10
dj hooda,21.86,7
dj hussey,25.3,10
dj malan,59.5,10
dj mitchell,42.4,10
dj reekers,7.6,5
dj willey,13.3,10
dj worrall,6.0,1
djg sammy,30.0,10
djm short,26.38,8
djs dottin,21.4,10
dk butler,8.0,2
dl blake,0.0,1
dl chahar,23.88,8
dl hemp,21.3,10
dl vettori,10.2,10
dls van bunge,22.7,10
dm braat,3.0,2
dm bravo,21.5,10
dm de silva,18.2,10
dm dupavillon,17.0,1
dm kimmince,12.33,3
dm richards,25.57,7
dn wellalage,18.1,10
dn wyatt,19.7,10
dnt zoysa,4.5,8
do leicher,27.75,4
do obuya,14.5,10
dod rikhi,3.0,1
dolar mahmud,15.25,4
dp conway,30.8,10
dp hyatt,12.44,9
dp vaidya,18.86,7
dpmd jayawardene,30.3,10
dr brown,18.0,4
dr chumney,19.1,10
dr flynn,16.7,10
dr martyn,36.8,10
dr mousley,23.0,3
dr smith,19.3,10
dr tuffey,13.9,10
ds airee,19.6,10
ds bajwa,13.5,8
ds kulkarni,13.5,2
ds lehmann,35.6,10
ds smith,16.6,10
ds weerakkody,24.33,3
dsk madushanka,7.0,1
dt christian,11.5,10
dt hondo,3.2,10
dt johnston,10.8,10
dt tiripano,14.8,10
dw steyn,12.2,10
e bisht,3.5,10
e bosch,7.0,1
e chigumbura,12.0,10
e claridge,15.8,5
e lewis,23.2,10
e malinga,2.8,5
e marx,13.25,4
e mbofana,5.5,4
e otieno,3.0,7
e schiferli,9.88,8
ea osborne,8.6,10
ea perry,29.1,10
eaj richardson,17.67,6
ebadat hossain,0.5,6
ec joyce,37.5,10
ec perry,7.0,3
ec rainsford,0.8,10
eh hutchinson,20.5,6
ehsan adil,6.75,4
ehsan khan,9.8,10
ehsan nawaz,4.83,6
ehsanul haque,9.33,3
ehsn silva,7.0,1
ej carson,0.5,6
