id,name,country_id,playing_role,bating_style,bowling_style,matches,innings,runs,average_score,strike_rate,100s,50,wickets,bowling_avg,bowling_econ,bowling_sr,batting_avg_allround,bowling_avg_allround,wickets_allround,Runs,Ave,HS,BF,SR,Mat,Inns,100,Wkts,Econ,BBI,4,5,span,matches_odi_batting,innings_odi_batting,not_out,runs_odi_batting,high_score,average_score_odi_batting,ball_faced,strike_rate_odi_batting,100s_odi_batting,50_odi_batting,0s,4s,6s,sp,bbi,bbm,bl,bwa,bwe,bwsr,cd,fw,fwk,in,md,mt,ov,pr,tw,wk,Country,Date_Of_Birth
1139511,Parvez Hossain Emon,25,wicketkeeper batter,left-hand bat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bangladesh,12-06-2002
1204964,Rabeya Khan,25,allrounder,right-hand bat,legbreak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,England,14-10-1980
478808,Ritu Moni,25,allrounder,right-hand bat,right-arm medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343648,Rumana Ahmed,25,allrounder,right-hand bat,legbreak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373538,Sabbir Rahman,25,middle-order batter,right-hand bat,legbreak,66,59,1333,25.63,91.23,1,6,3,115,6.76,102,25.63,115,3,1333,115,102,1461,102,66,59,1,3,6.76,01-Dec,0,0,2014-2019,66,59,7,1333,102,25.63,1461,91.23,1,6,5,153,24,2014-2019,12-Jan,12-Jan,,115,6.76,102,345,0,0,21,0,66,51,,0,3,Bangladesh,22-11-1991
301603,Salma Khatun,25,allrounder,right-hand bat,right-arm offbreak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1205142,Sanjida Akter Meghla,25,bowler,right-hand bat,slow left-arm orthodox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
629057,Shadman Islam,25,opening batter,left-hand bat,slow left-arm orthodox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bangladesh,18-05-1995
420402,Afsar Zazai,40,wicketkeeper batter,right-hand bat,,17,16,264,17.6,54.09,0,2,,,,,17.6,,,264,,60,488,,17,16,0,,,,,,2014-2017,17,16,1,264,60,17.6,488,54.09,0,2,3,15,0,2014-2017,,,,,,,,,,,,17,,,,,Afghanistan,10-08-1993
819429,Azmatullah Omarzai,40,allrounder,right-hand bat,right-arm medium-fast,7,4,35,11.66,62.5,0,0,4,44.75,4.36,61.5,11.66,44.75,4,,,,,,,,,,,,,,2021-2022,7,4,1,35,15*,11.66,56,62.5,0,0,0,5,0,2021-2022,17-Jan,17-Jan,,44.75,4.36,61.5,179,0,0,7,0,7,41,,0,4,Afghanistan,24-03-2000
819441,Darwish Rasooli,40,top-order batter,right-hand bat,right-arm offbreak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Afghanistan,12-12-1999
568136,Fareed Ahmad,40,bowler,left-hand bat,left-arm fast-medium,11,3,7,,33.33,0,0,15,22.86,4.63,29.6,,22.86,15,1,28.6,1*,6,30,5,2,0,5,5.72,Mar-65,0,0,2014-2022,11,3,3,7,6*,,21,33.33,0,0,0,0,0,2014-2022,Mar-56,Mar-56,,22.86,4.63,29.6,343,0,0,10,4,11,74,,0,15,Afghanistan,10-08-1994
974175,Fazalhaq Farooqi,40,bowler,right-hand bat,left-arm fast-medium,10,3,2,2,25,0,0,17,23.7,5.09,27.9,2,23.7,17,,,,,,,,,,,,,,2022-2022,10,3,2,2,2*,2,8,25,0,0,1,0,0,2022-2022,Apr-49,Apr-49,,23.7,5.09,27.9,403,0,2,10,5,10,79.1,,0,17,Afghanistan,22-09-2000
352048,Gulbadin Naib,40,batting allrounder,right-hand bat,right-arm medium-fast,75,64,1150,20.53,73.15,0,5,64,35.6,5.41,39.4,20.53,35.6,64,1041,33.35,82*,1424,37.1,65,56,0,59,5.38,Jun-43,2,1,2011-2022,75,64,8,1150,82*,20.53,1572,73.15,0,5,5,90,28,2011-2022,Jun-43,Jun-43,,35.6,5.41,39.4,2279,1,2,69,11,75,420.3,,0,64,Afghanistan,16-03-1991
440970,Hashmatullah Shahidi,40,top-order batter,left-hand bat,right-arm offbreak,53,53,1505,32.71,65.57,0,9,0,,8.33,,32.71,,0,1062,,97*,1667,,39,39,0,0,8.33,,0,0,2013-2022,53,53,7,1505,97*,32.71,2295,65.57,0,13,4,128,9,2013-2022,,,,,8.33,,25,0,0,2,0,53,3,,0,0,Afghanistan,04-11-1994
793457,Hazratullah Zazai,40,opening batter,left-hand bat,slow left-arm orthodox,16,16,361,22.56,88.26,0,2,,,,,22.56,,,361,,67,409,,16,16,0,,,,,,2018-2019,16,16,0,361,67,22.56,409,88.26,0,2,1,38,17,2018-2019,,,,,,,,,,,,16,,,,,Afghanistan,23-03-1998
921509,Ibrahim Zadran,40,opening batter,right-hand bat,right-arm medium-fast,8,8,433,61.85,87.12,3,0,,,,,61.85,,,2,,2,9,,1,1,0,,,,,,2019-2022,8,8,1,433,162,61.85,497,87.12,3,0,0,45,5,2019-2022,,,,,,,,,,,,8,,,,,Afghanistan,12-12-2001
703323,Ihsanullah,40,top-order batter,right-hand bat,,16,16,307,21.92,69.77,0,3,,,,,21.92,,,307,,57*,440,,16,16,0,,,,,,2017-2018,16,16,2,307,57*,21.92,440,69.77,0,3,2,38,6,2017-2018,,,,,,,,,,,,16,,,,,Afghanistan,28-12-1997
793467,Karim Janat,40,bowling allrounder,right-hand bat,right-arm medium,1,1,9,9,27.27,0,0,0,,7.75,,9,,0,9,,9,33,,1,1,0,0,7.75,,0,0,2017-2017,1,1,0,9,9,9,33,27.27,0,0,0,0,0,2017-2017,,,,,7.75,,31,0,0,1,0,1,4,,0,0,Afghanistan,11-08-1998
25913,Mohammad Nabi,40,allrounder,right-hand bat,right-arm offbreak,136,121,2968,27.48,85.33,1,15,144,32.13,4.28,44.9,27.48,32.13,144,2782,32.54,116,3252,45.5,124,112,1,130,4.28,Apr-30,3,0,2009-2022,136,121,13,2968,116,27.48,3478,85.33,1,15,6,189,92,2009-2022,30-Apr,30-Apr,,32.13,4.28,44.9,4628,0,4,131,43,136,1079.3,,0,144,Afghanistan,01-01-1985
974109,Mujeeb Ur Rahman,40,bowler,right-hand bat,right-arm offbreak,55,27,97,6.92,75.78,0,0,79,24.75,4.06,36.5,6.92,24.75,79,69,22.44,15,79,34.1,40,21,0,63,3.94,May-50,2,1,2017-2022,55,27,13,97,18*,6.92,128,75.78,0,0,9,10,2,2017-2022,May-50,May-50,,24.75,4.06,36.5,1956,1,3,54,31,55,481.3,,0,79,Afghanistan,28-03-2001
524049,Najibullah Zadran,40,middle-order batter,left-hand bat,right-arm offbreak,82,75,1974,31.33,90.26,1,11,0,,6,,31.33,,0,1586,,104*,1765,,67,62,1,0,6,,0,0,2012-2022,82,75,12,1974,104*,31.33,2187,90.26,1,15,4,170,66,2012-2022,,,,,6,,30,0,0,2,0,82,5,,0,0,Afghanistan,28-02-1993
793447,Naveen-ul-Haq,40,bowler,right-hand bat,right-arm medium-fast,7,5,21,21,72.41,0,0,14,25.42,5.78,26.3,21,25.42,14,9,33.5,8*,21,35.3,4,3,0,6,5.68,Mar-60,0,0,2016-2021,7,5,4,21,10*,21,29,72.41,0,0,0,3,0,2016-2021,Apr-42,Apr-42,,25.42,5.78,26.3,356,0,1,7,1,7,61.3,,0,14,Afghanistan,23-09-1999
913843,Nijat Masood,40,bowler,right-hand bat,right-arm medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Afghanistan,30-12-1998
